Rank,Opportunity_Tier,Main_Category,Sub_Category,URL,Rationale
135,2,"Party","Tableware & Serving","https://www.poundwholesale.co.uk/party/tableware-serving","Focus on themed bundles for specific events (e.g., kids' birthdays)."
136,2,"Party","Banners & Bunting","https://www.poundwholesale.co.uk/party/banners-bunting","Lightweight and easy to ship. Good for themed party kits."
137,2,"Toys","Creative & Novelty Toys","https://www.poundwholesale.co.uk/toys/creative-novelty-toys","Broad category, requires careful selection to avoid fleeting trends."
138,2,"Toys","Diecast, Farm & Construction","https://www.poundwholesale.co.uk/toys/diecast-farm-construction","Niche with dedicated collectors. Good margin potential."
139,2,"Toys","Science & Discovery","https://www.poundwholesale.co.uk/toys/science-discovery","High perceived educational value. Good for kits."
140,2,"Toys","Outdoor & Sports Toys","https://www.poundwholesale.co.uk/toys/outdoor-sports-toys","Seasonal, focus on smaller items like balls and frisbees."
141,2,"Homeware","Wall Art & Decor","https://www.poundwholesale.co.uk/homeware/wall-art-decor","Highly subjective, high risk of returns based on taste."
142,2,"Homeware","Candle Holders & Lanterns","https://www.poundwholesale.co.uk/homeware/candle-holders-lanterns","Good add-on for candle bundles, but can be fragile."
143,2,"Homeware","Rugs & Mats","https://www.poundwholesale.co.uk/homeware/rugs-mats","High return rates due to colour/texture preference."
144,2,"Homeware","Cushions & Throws","https://www.poundwholesale.co.uk/homeware/cushions-throws","High return rates, very competitive."
145,2,"Kitchenware","Bakeware","https://www.poundwholesale.co.uk/kitchenware/bakeware","Competitive, but opportunity in creating 'beginner's baking sets'."
146,2,"Kitchenware","Chopping Boards","https://www.poundwholesale.co.uk/kitchenware/chopping-boards","Evergreen need, but competitive. Opportunity in bundling sizes."
147,2,"Kitchenware","Tea & Coffee Making","https://www.poundwholesale.co.uk/kitchenware/tea-coffee-making","Focus on accessories (filters, frothers) rather than machines."
148,2,"Kitchenware","Pots & Pans","https://www.poundwholesale.co.uk/kitchenware/pots-pans","Very competitive and often bulky. Dominated by established brands."
149,2,"Electrical","Torches & Lanterns","https://www.poundwholesale.co.uk/electrical/torches-lanterns","Good demand, especially for camping/outdoor niches."
150,3,"Electrical","Cables & Chargers","https://www.poundwholesale.co.uk/electrical/cables-chargers","Hyper-saturated market with race-to-the-bottom pricing."
151,3,"Electrical","Adapters & Plugs","https://www.poundwholesale.co.uk/electrical/adapters-plugs","Commoditized, low margin, potential safety concerns."
152,3,"Car Care","Oils & Fluids","https://www.poundwholesale.co.uk/car-care/oils-fluids","Requires consumer trust, dominated by major brands."
153,3,"Car Care","Winter Car Care","https://www.poundwholesale.co.uk/car-care/winter-car-care","High seasonal demand, good for creating 'winter emergency kits'."
154,3,"Pound Lines","Household & Cleaning","https://www.poundwholesale.co.uk/pound-lines/household-cleaning","Too broad. Requires specific item analysis; high risk of low quality."
155,3,"Pound Lines","Health & Beauty","https://www.poundwholesale.co.uk/pound-lines/health-beauty","Too broad. High risk of unknown brands or poor quality."
156,3,"Pound Lines","Stationery & Craft","https://www.poundwholesale.co.uk/pound-lines/stationery-craft","Too broad. Requires careful curation to create value."
157,3,"Pound Lines","DIY & Tools","https://www.poundwholesale.co.uk/pound-lines/diy-tools","Too broad. High risk of low-quality tools that lead to bad reviews."
158,3,"Pound Lines","Toys & Games","https://www.poundwholesale.co.uk/pound-lines/toys-games","Too broad. High risk of unsafe or low-play-value items."
159,3,"Pound Lines","Party & Gifting","https://www.poundwholesale.co.uk/pound-lines/party-gifting","Too broad. Requires curation into themed kits to be viable."
160,3,"Pound Lines","Pet Care","https://www.poundwholesale.co.uk/pound-lines/pet-care","Too broad. Risk of low-quality food or unsafe toys."
161,3,"Pound Lines","Gardening & Outdoor","https://www.poundwholesale.co.uk/pound-lines/gardening-outdoor","Too broad. Risk of poor quality tools or non-viable seeds."
162,3,"Pound Lines","Electrical & Car Care","https://www.poundwholesale.co.uk/pound-lines/electrical-car-care","Too broad. High risk of safety issues with unbranded electricals."
163,3,"Pound Lines","Baby & Toddler","https://www.poundwholesale.co.uk/pound-lines/baby-toddler","Too broad. Extremely high risk regarding safety and compliance."
164,3,"Party","Christmas","https://www.poundwholesale.co.uk/party/christmas","Hyper-seasonal, high competition, requires precise inventory timing."
165,3,"Party","Halloween","https://www.poundwholesale.co.uk/party/halloween","Hyper-seasonal, high competition, short sales window."
166,3,"Party","Valentines Day","https://www.poundwholesale.co.uk/party/valentines-day","Hyper-seasonal, short sales window."
167,3,"Party","Easter","https://www.poundwholesale.co.uk/party/easter","Hyper-seasonal, short sales window."
168,3,"Party","New Year","https://www.poundwholesale.co.uk/party/new-year","Hyper-seasonal, very short sales window."
169,3,"Party","St. Patrick's Day","https://www.poundwholesale.co.uk/party/st-patricks-day","Niche seasonal event, low volume."
170,3,"Party","Mother's Day / Father's Day","https://www.poundwholesale.co.uk/party/mothers-day-fathers-day","Seasonal, dominated by gift sets and cards."
171,3,"Toys","Christmas Toys & Gifts","https://www.poundwholesale.co.uk/toys/christmas-toys-gifts","Extremely seasonal and competitive."
172,3,"Homeware","Christmas Decorations","https://www.poundwholesale.co.uk/homeware/christmas-decorations","Hyper-seasonal, high competition, risk of dead stock."
173,3,"Pound Lines","Christmas","https://www.poundwholesale.co.uk/pound-lines/christmas","Too broad, high risk of low-quality seasonal items."
174,3,"Pound Lines","Halloween","https://www.poundwholesale.co.uk/pound-lines/halloween","Too broad, high risk of low-quality seasonal items."
175,3,"Toys","Fidget & Fiddle Toys","https://www.poundwholesale.co.uk/toys/fidget-fiddle-toys","Trend-driven, market is past its peak."
176,3,"Toys","Collectibles","https://www.poundwholesale.co.uk/toys/collectibles","Requires deep niche knowledge, can be hit-or-miss."
177,3,"Toys","Puppets & Theatres","https://www.poundwholesale.co.uk/toys/puppets-theatres","Niche category with low overall demand."
178,3,"Toys","Musical Toys & Instruments","https://www.poundwholesale.co.uk/toys/musical-toys-instruments","Can be noisy, leading to returns; competitive."
179,3,"Homeware","Blinds & Curtains","https://www.poundwholesale.co.uk/homeware/blinds-curtains","High return rates due to sizing and colour matching issues."
180,3,"Homeware","Bedding & Linen","https://www.poundwholesale.co.uk/homeware/bedding-linen","Extremely high competition and high return rates."
181,3,"Homeware","Towels & Bath Mats","https://www.poundwholesale.co.uk/homeware/towels-bath-mats","Competitive, high return rates due to texture/colour."
182,3,"Homeware","Tablecloths & Runners","https://www.poundwholesale.co.uk/homeware/tablecloths-runners","Niche, competitive, high returns."
183,3,"Homeware","Kitchen Textiles","https://www.poundwholesale.co.uk/homeware/kitchen-textiles","Competitive, low-margin items (e.g., tea towels)."
184,3,"Kitchenware","Flasks & Travel Mugs","https://www.poundwholesale.co.uk/kitchenware/flasks-travel-mugs","Highly competitive market with many established brands."
185,3,"Kitchenware","Bins","https://www.poundwholesale.co.uk/kitchenware/bins","Bulky item, high FBA fees make profitability difficult."
186,3,"Kitchenware","Washing Up Bowls & Drainers","https://www.poundwholesale.co.uk/kitchenware/washing-up-bowls-drainers","Bulky, low-value items."
187,3,"Cleaning","Airers & Washing Lines","https://www.poundwholesale.co.uk/cleaning/airers-washing-lines","Very bulky, high FBA fees."
188,3,"Cleaning","Irons & Ironing Boards","https://www.poundwholesale.co.uk/cleaning/irons-ironing-boards","Bulky (boards) and high competition from known brands (irons)."
189,3,"DIY","Ladders & Step Stools","https://www.poundwholesale.co.uk/diy/ladders-step-stools","Extremely bulky and heavy, not suitable for FBA."
190,3,"DIY","Workbenches & Sawhorses","https://www.poundwholesale.co.uk/diy/workbenches-sawhorses","Prohibitively large for FBA."
191,3,"Garden","Garden Furniture","https://www.poundwholesale.co.uk/garden/garden-furniture","Prohibitively large and heavy for FBA."
192,3,"Garden","Sheds & Storage","https://www.poundwholesale.co.uk/garden/sheds-storage","Prohibitively large and heavy for FBA."
193,3,"Garden","Greenhouses & Grow Houses","https://www.poundwholesale.co.uk/garden/greenhouses-grow-houses","Prohibitively large, heavy, and often fragile."
194,3,"Summer","Paddling Pools","https://www.poundwholesale.co.uk/summer/paddling-pools","Very bulky and seasonal."
195,3,"Summer","Beach & Pool Inflatables","https://www.poundwholesale.co.uk/summer/beach-pool-inflatables","Seasonal, competitive, risk of punctures/returns."
196,3,"Summer","Windbreaks & Tents","https://www.poundwholesale.co.uk/summer/windbreaks-tents","Bulky and seasonal."
197,3,"Health & Beauty","Makeup & Cosmetics","https://www.poundwholesale.co.uk/health-beauty/makeup-cosmetics","High competition, brand loyalty, and risk of skin reactions."
198,3,"Health & Beauty","Perfumes & Fragrances","https://www.poundwholesale.co.uk/health-beauty/perfumes-fragrances","Gated category, high risk of counterfeits, dominated by major brands."
199,3,"Baby","Baby Walkers & Bouncers","https://www.poundwholesale.co.uk/baby/baby-walkers-bouncers","Bulky, high safety standards required."
200,3,"Baby","Prams & Pushchairs","https://www.poundwholesale.co.uk/baby/prams-pushchairs","Prohibitively large, high safety standards, high competition."
201,3,"Baby","Car Seats","https://www.poundwholesale.co.uk/baby/car-seats","Extremely high safety regulations, liability risk."
202,3,"Baby","Nursery Furniture","https://www.poundwholesale.co.uk/baby/nursery-furniture","Prohibitively large and heavy for FBA."
203,3,"Pet Supplies","Crates & Carriers","https://www.poundwholesale.co.uk/pet-supplies/crates-carriers","Bulky, high FBA fees."
204,3,"Pet Supplies","Aquariums & Tanks","https://www.poundwholesale.co.uk/pet-supplies/aquariums-tanks","Fragile, heavy, and bulky."
205,3,"Stationery","Whiteboards & Notice Boards","https://www.poundwholesale.co.uk/stationery/whiteboards-notice-boards","Often bulky and can be damaged in transit."
206,3,"Stationery","Easels & Flip Charts","https://www.poundwholesale.co.uk/stationery/easels-flip-charts","Bulky, niche B2B demand."
207,3,"Party","Fancy Dress & Costumes","https://www.poundwholesale.co.uk/party/fancy-dress-costumes","Very high return rates after single use."
208,3,"Party","Piñatas","https://www.poundwholesale.co.uk/party/pinatas","Bulky and fragile for its price point."
209,3,"Toys","Ride-Ons & Scooters","https://www.poundwholesale.co.uk/toys/ride-ons-scooters","Bulky, high FBA fees, high safety standards."
210,3,"Toys","Trampolines & Swings","https://www.poundwholesale.co.uk/toys/trampolines-swings","Prohibitively large and heavy."
211,3,"Homeware","Furniture","https://www.poundwholesale.co.uk/homeware/furniture","Prohibitively large and heavy for a standard FBA model."
212,3,"Homeware","Mattresses & Toppers","https://www.poundwholesale.co.uk/homeware/mattresses-toppers","Bulky, high return rates."
213,3,"Homeware","Office Furniture","https://www.poundwholesale.co.uk/homeware/office-furniture","Bulky and competitive."
214,3,"Kitchenware","Small Appliances","https://www.poundwholesale.co.uk/kitchenware/small-appliances","High competition from known brands, electrical safety risk."
215,3,"Electrical","Heaters & Radiators","https://www.poundwholesale.co.uk/electrical/heaters-radiators","Bulky, seasonal, high competition."
216,3,"Electrical","Fans","https://www.poundwholesale.co.uk/electrical/fans","Bulky, seasonal, high competition."
217,3,"Electrical","Audio & TV Accessories","https://www.poundwholesale.co.uk/electrical/audio-tv-accessories","Dominated by specialist brands, fast-changing tech."
218,3,"Car Care","Tyre & Wheel Care","https://www.poundwholesale.co.uk/car-care/tyre-wheel-care","Competitive, dominated by specialist brands."
219,3,"Car Care","Breakdown & Emergency","https://www.poundwholesale.co.uk/car-care/breakdown-emergency","Requires consumer trust, niche demand."
220,3,"Pound Lines","Food & Drink","https://www.poundwholesale.co.uk/pound-lines/food-drink","Too broad, risk of expiry dates, low margin."
221,3,"Pound Lines","Gifts & Gadgets","https://www.poundwholesale.co.uk/pound-lines/gifts-gadgets","Too broad, high risk of low-quality, gimmicky items."
222,3,"Pound Lines","Homeware & Decor","https://www.poundwholesale.co.uk/pound-lines/homeware-decor","Too broad, high risk of low quality."
223,3,"Pound Lines","Kitchen & Dining","https://www.poundwholesale.co.uk/pound-lines/kitchen-dining","Too broad, high risk of low quality."
224,3,"Pound Lines","Cleaning & Household","https://www.poundwholesale.co.uk/pound-lines/cleaning-household","Too broad, high risk of ineffective products."
225,3,"Pound Lines","Health & Beauty","https://www.poundwholesale.co.uk/pound-lines/health-beauty","Too broad, high risk of products with safety issues."
226,3,"Pound Lines","Stationery & Craft","https://www.poundwholesale.co.uk/pound-lines/stationery-craft","Too broad, high risk of low-quality materials."
227,3,"Pound Lines","DIY & Tools","https://www.poundwholesale.co.uk/pound-lines/diy-tools","Too broad, high risk of tools that break easily."
228,3,"Pound Lines","Toys & Games","https://www.poundwholesale.co.uk/pound-lines/toys-games","Too broad, high risk of unsafe toys."
229,3,"Pound Lines","Party & Gifting","https://www.poundwholesale.co.uk/pound-lines/party-gifting","Too broad, high risk of tacky or poor-quality items."
230,3,"Pound Lines","Pet Care","https://www.poundwholesale.co.uk/pound-lines/pet-care","Too broad, risk of unsafe toys or low-quality treats."
231,3,"Pound Lines","Gardening & Outdoor","https://www.poundwholesale.co.uk/pound-lines/gardening-outdoor","Too broad, risk of tools that fail or seeds that don't grow."
232,3,"Pound Lines","Electrical & Car Care","https://www.poundwholesale.co.uk/pound-lines/electrical-car-care","Too broad, high risk of dangerous, uncertified products."
233,3,"Pound Lines","Baby & Toddler","https://www.poundwholesale.co.uk/pound-lines/baby-toddler","Too broad, extremely high safety and compliance risk."
234,3,"Homeware","Generic Clothing","https://www.poundwholesale.co.uk/homeware/clothing","Extremely high competition, high return rates, difficult to differentiate."
235,3,"Electrical","Phone Cases & Accessories","https://www.poundwholesale.co.uk/electrical/phone-cases-accessories","Hyper-saturated market with race-to-the-bottom pricing."
236,3,"Homeware","Artificial Flowers & Plants","https://www.poundwholesale.co.uk/homeware/artificial-flowers-plants","Competitive, with quality being highly subjective, leading to potential returns."
237,3,"Kitchenware","Cutlery","https://www.poundwholesale.co.uk/kitchenware/cutlery","Highly competitive, dominated by established brands and sets."
238,3,"Pound Lines","Food (General)","https://www.poundwholesale.co.uk/pound-lines/food","Low margins, high competition from supermarkets, and potential for expiry issues."
239,3,"DIY","Adhesive Hooks & Picture Hanging","https://www.poundwholesale.co.uk/diy/adhesive-hooks-picture-hanging","Commoditized, low-value items that are difficult to profit from individually."
240,3,"Homeware","Laundry Baskets & Bins","https://www.poundwholesale.co.uk/homeware/laundry-baskets-bins","Very bulky items leading to excessive FBA storage and fulfilment fees."
241,3,"Party","Greeting Cards","https://www.poundwholesale.co.uk/party/greeting-cards","Low price point, high competition from specialist card retailers."
242,3,"Household","Ironing & Accessories","https://www.poundwholesale.co.uk/household/ironing-accessories","Bulky items (ironing boards) and a competitive market for accessories."
243,3,"DIY","Sealants & Fillers","https://www.poundwholesale.co.uk/diy/sealants-fillers","Dominated by major DIY brands, requires consumer trust in the product's performance."
244,3,"Summer","Cycling Accessories","https://www.poundwholesale.co.uk/summer/cycling-accessories","Niche, but competitive."
245,3,"Pound Lines","Smoking Accessories","https://www.poundwholesale.co.uk/pound-lines/smoking-accessories","Restricted category on Amazon, high risk."
246,3,"Pound Lines","E-Cigs & Vaping","https://www.poundwholesale.co.uk/pound-lines/e-cigs-vaping","Heavily restricted category on Amazon, very high risk."
247,3,"Stationery","Bingo Supplies","https://www.poundwholesale.co.uk/stationery/bingo-supplies","Highly specific, underserved niche. Low volume but potentially high margins."
248,3,"Stationery","Postal Supplies","https://www.poundwholesale.co.uk/stationery/postal-supplies","Stable B2B demand, but requires selling in bulk to be profitable."
249,3,"Homeware","Storage Boxes & Containers","https://www.poundwholesale.co.uk/homeware/storage-boxes-containers","Evergreen demand, but often bulky, leading to high FBA fees."
250,3,"Household","Dehumidifiers","https://www.poundwholesale.co.uk/household/dehumidifiers","Seasonal demand, bulky, moderate competition."
251,3,"Garden","Planting & Growing","https://www.poundwholesale.co.uk/garden/planting-growing","Seasonal, competitive, opportunity is in kits, not single items."
252,3,"Electrical","Electrical Accessories","https://www.poundwholesale.co.uk/electrical/electrical-accessories","High competition, risk of safety issues, e.g., extension leads."
253,3,"Electrical","Light Bulbs","https://www.poundwholesale.co.uk/electrical/light-bulbs","Commoditized, fragile, high competition from specialist brands."
254,3,"Kitchenware","Glassware & Mugs","https://www.poundwholesale.co.uk/kitchenware/glassware-mugs","Fragile, high risk of breakages in transit."
255,3,"Kitchenware","Dinnerware & Crockery","https://www.poundwholesale.co.uk/kitchenware/dinnerware-crockery","Fragile and bulky, high competition from established homeware retailers."
256,3,"Kitchenware","Cookware","https://www.poundwholesale.co.uk/kitchenware/cookware","Highly competitive, dominated by established brands."
257,3,"Homeware","Rugs & Textiles","https://www.poundwholesale.co.uk/homeware/rugs-textiles","High return rates due to colour/texture preference, very competitive."
258,3,"Car Care","Car Accessories","https://www.poundwholesale.co.uk/car-care/car-accessories","Highly saturated market with low margins."
259,3,"Car Care","Car Maintenance","https://www.poundwholesale.co.uk/car-care/car-maintenance","Requires consumer trust and expertise, dominated by major brands."
260,3,"Pound Lines","Pound Lines","https://www.poundwholesale.co.uk/pound-lines","Too broad, requires individual item analysis. High risk of low quality."
261,3,"Pound Lines","Food","https://www.poundwholesale.co.uk/pound-lines/food","Low margins, high competition from supermarkets, and potential for expiry issues."
262,3,"Pound Lines","General","https://www.poundwholesale.co.uk/pound-lines/general","The most broad and riskiest category of all."
263,3,"Homeware","Clothing","https://www.poundwholesale.co.uk/homeware/clothing","Extremely high competition, high return rates, difficult to differentiate."
264,3,"Electrical","Phone Cases & Accessories","https://www.poundwholesale.co.uk/electrical/phone-cases-accessories","Hyper-saturated market with race-to-the-bottom pricing."
265,3,"DIY","Adhesive Hooks & Picture Hanging","https://www.poundwholesale.co.uk/diy/adhesive-hooks-picture-hanging","Commoditized, low-value items that are difficult to profit from individually."
266,3,"Party","Greeting Cards","https://www.poundwholesale.co.uk/party/greeting-cards","Low price point, high competition from specialist card retailers."
267,3,"Household","Ironing & Accessories","https://www.poundwholesale.co.uk/household/ironing-accessories","Bulky items (ironing boards) and a competitive market for accessories."
268,3,"DIY","Sealants & Fillers","https://www.poundwholesale.co.uk/diy/sealants-fillers","Dominated by major DIY brands, requires consumer trust in the product's performance."
269,3,"Summer","Cycling Accessories","https://www.poundwholesale.co.uk/summer/cycling-accessories","Niche, but competitive."
270,3,"Pound Lines","Smoking Accessories","https://www.poundwholesale.co.uk/pound-lines/smoking-accessories","Restricted category on Amazon, high risk."
271,3,"Pound Lines","E-Cigs & Vaping","https://www.poundwholesale.co.uk/pound-lines/e-cigs-vaping","Heavily restricted category on Amazon, very high risk."
272,3,"Homeware","Laundry Baskets & Bins","https://www.poundwholesale.co.uk/homeware/laundry-baskets-bins","Very bulky items leading to excessive FBA storage and fulfilment fees."
273,3,"DIY","Fillers & Sealants","https://www.poundwholesale.co.uk/diy/fillers-sealants","Dominated by major DIY brands, requires consumer trust."
274,3,"DIY","Tapes & Adhesives","https://www.poundwholesale.co.uk/diy/tapes-adhesives","High demand from both DIY and craft sectors. Multi-packs are viable."
275,3,"Party","Christmas","https://www.poundwholesale.co.uk/party/christmas","Hyper-seasonal, high competition, requires precise inventory timing."
276,3,"Party","Halloween","https://www.poundwholesale.co.uk/party/halloween","Hyper-seasonal, high competition, short sales window."
277,3,"Party","Valentines Day","https://www.poundwholesale.co.uk/party/valentines-day","Hyper-seasonal, short sales window."
278,3,"Party","Easter","https://www.poundwholesale.co.uk/party/easter","Hyper-seasonal, short sales window."
